"","X","st","log.inv.age1","log.inv.prec.age1","agegrp","period","N_swabs","pop_offset_IPD","IPD_blurred","N_carr_blurred"
"121",121,"15A",1.8161060692757,5.08907900598185,1,2,3329,1610.316,10,121
"122",122,"15A",1.8161060692757,5.08907900598185,3,1,1918,3693.6125,5,40
"123",123,"15A",1.8161060692757,5.08907900598185,4,0,1077,2755.251,5,19
"124",124,"15A",1.8161060692757,5.08907900598185,2,0,1077,4685.025,4,23
"125",125,"15A",1.8161060692757,5.08907900598185,2,2,3329,5094.192,4,120
"126",126,"15A",1.8161060692757,5.08907900598185,1,0,1077,1559.511,11,23
"127",127,"15A",1.8161060692757,5.08907900598185,3,3,3259,2435.0243034,3,50
"128",128,"15A",1.8161060692757,5.08907900598185,1,1,1918,1070.6159375,2,43
"129",129,"15B/C",1.73267275106677,7.46488886211691,3,3,3259,2435.0243034,5,189
"130",130,"15B/C",1.73267275106677,7.46488886211691,4,1,1918,2302.9794375,7,76
"131",131,"15B/C",1.73267275106677,7.46488886211691,3,2,3329,5747.136,6,100
"132",132,"15B/C",1.73267275106677,7.46488886211691,1,0,1077,1559.511,10,14
"133",133,"15B/C",1.73267275106677,7.46488886211691,2,2,3329,5094.192,6,107
"134",134,"15B/C",1.73267275106677,7.46488886211691,2,0,1077,4685.025,6,17
"135",135,"15B/C",1.73267275106677,7.46488886211691,4,0,1077,2755.251,8,16
"136",136,"15B/C",1.73267275106677,7.46488886211691,4,2,3329,4206.696,7,101
"137",137,"15B/C",1.73267275106677,7.46488886211691,2,3,3259,2046.5561435,7,186
"138",138,"15B/C",1.73267275106677,7.46488886211691,1,3,3259,682.89472565,10,187
"139",139,"15B/C",1.73267275106677,7.46488886211691,3,0,1077,4963.884,11,21
"140",140,"15B/C",1.73267275106677,7.46488886211691,1,2,3329,1610.316,6,98
"141",141,"15B/C",1.73267275106677,7.46488886211691,1,1,1918,1070.6159375,6,71
"142",142,"15B/C",1.73267275106677,7.46488886211691,3,1,1918,3693.6125,4,74
"143",143,"15B/C",1.73267275106677,7.46488886211691,4,3,3259,1899.7218255,4,186
"144",144,"15B/C",1.73267275106677,7.46488886211691,2,1,1918,3547.3925625,3,68
"145",145,"16F",2.60719265039041,5.68921074354767,2,2,3329,5094.192,7,63
"146",146,"16F",2.60719265039041,5.68921074354767,3,2,3329,5747.136,4,62
"147",147,"16F",2.60719265039041,5.68921074354767,1,1,1918,1070.6159375,5,31
"148",148,"16F",2.60719265039041,5.68921074354767,4,2,3329,4206.696,15,65
"149",149,"16F",2.60719265039041,5.68921074354767,4,1,1918,2302.9794375,18,31
"150",150,"16F",2.60719265039041,5.68921074354767,1,3,3259,682.89472565,7,64
"151",151,"16F",2.60719265039041,5.68921074354767,2,3,3259,2046.5561435,7,57
"152",152,"16F",2.60719265039041,5.68921074354767,1,2,3329,1610.316,6,63
"153",153,"16F",2.60719265039041,5.68921074354767,4,3,3259,1899.7218255,10,61
"154",154,"16F",2.60719265039041,5.68921074354767,3,0,1077,4963.884,5,10
"155",155,"16F",2.60719265039041,5.68921074354767,2,1,1918,3547.3925625,2,31
"156",156,"16F",2.60719265039041,5.68921074354767,3,1,1918,3693.6125,4,31
"157",157,"16F",2.60719265039041,5.68921074354767,2,0,1077,4685.025,6,12
"158",158,"16F",2.60719265039041,5.68921074354767,4,0,1077,2755.251,13,10
"159",159,"16F",2.60719265039041,5.68921074354767,3,3,3259,2435.0243034,6,59
"160",160,"16F",2.60719265039041,5.68921074354767,1,0,1077,1559.511,7,11
"161",161,"17A",2.48305531081583,0.476105638976961,2,2,3329,5094.192,5,6
"162",162,"17A",2.48305531081583,0.476105638976961,1,1,1918,1070.6159375,4,17
"163",163,"17A",2.48305531081583,0.476105638976961,4,1,1918,2302.9794375,6,19
"164",164,"17A",2.48305531081583,0.476105638976961,4,2,3329,4206.696,4,7
"165",165,"17A",2.48305531081583,0.476105638976961,2,1,1918,3547.3925625,4,17
"166",166,"17A",2.48305531081583,0.476105638976961,1,2,3329,1610.316,5,7
"167",167,"17A",2.48305531081583,0.476105638976961,3,1,1918,3693.6125,6,14
"168",168,"17A",2.48305531081583,0.476105638976961,3,0,1077,4963.884,3,5
"169",169,"17A",2.48305531081583,0.476105638976961,4,0,1077,2755.251,4,6
"170",170,"17A",2.48305531081583,0.476105638976961,3,3,3259,2435.0243034,4,4
"171",171,"17A",2.48305531081583,0.476105638976961,3,2,3329,5747.136,6,6
"172",172,"17A",2.48305531081583,0.476105638976961,2,0,1077,4685.025,3,9
"173",173,"17A",2.48305531081583,0.476105638976961,1,3,3259,682.89472565,7,3
"174",174,"17A",2.48305531081583,0.476105638976961,2,3,3259,2046.5561435,6,7
"175",175,"17A",2.48305531081583,0.476105638976961,4,3,3259,1899.7218255,6,1
"176",176,"17A",2.48305531081583,0.476105638976961,1,0,1077,1559.511,6,8
"177",177,"17F",2.03989898386241,2.58123737203653,3,3,3259,2435.0243034,4,60
"178",178,"17F",2.03989898386241,2.58123737203653,2,2,3329,5094.192,5,74
"179",179,"17F",2.03989898386241,2.58123737203653,3,0,1077,4963.884,9,11
"180",180,"17F",2.03989898386241,2.58123737203653,3,1,1918,3693.6125,5,23
"181",181,"17F",2.03989898386241,2.58123737203653,4,1,1918,2302.9794375,13,26
"182",182,"17F",2.03989898386241,2.58123737203653,1,3,3259,682.89472565,4,61
"183",183,"17F",2.03989898386241,2.58123737203653,4,2,3329,4206.696,21,78
"184",184,"17F",2.03989898386241,2.58123737203653,1,1,1918,1070.6159375,5,27
"185",185,"17F",2.03989898386241,2.58123737203653,3,2,3329,5747.136,7,72
"186",186,"17F",2.03989898386241,2.58123737203653,2,1,1918,3547.3925625,5,27
"187",187,"17F",2.03989898386241,2.58123737203653,1,2,3329,1610.316,5,76
"188",188,"17F",2.03989898386241,2.58123737203653,4,0,1077,2755.251,13,12
"189",189,"17F",2.03989898386241,2.58123737203653,4,3,3259,1899.7218255,8,55
"190",190,"17F",2.03989898386241,2.58123737203653,2,3,3259,2046.5561435,8,57
"191",191,"17F",2.03989898386241,2.58123737203653,1,0,1077,1559.511,4,12
"192",192,"17F",2.03989898386241,2.58123737203653,2,0,1077,4685.025,5,11
"193",193,"18C",4.16739364554875,12.4326594724658,4,0,1077,2755.251,16,13
"194",194,"18C",4.16739364554875,12.4326594724658,1,1,1918,1070.6159375,16,32
"195",195,"18C",4.16739364554875,12.4326594724658,2,3,3259,2046.5561435,9,2
"196",196,"18C",4.16739364554875,12.4326594724658,3,0,1077,4963.884,6,10
"197",197,"18C",4.16739364554875,12.4326594724658,1,0,1077,1559.511,15,11
"198",198,"18C",4.16739364554875,12.4326594724658,3,2,3329,5747.136,6,11
"199",199,"18C",4.16739364554875,12.4326594724658,4,3,3259,1899.7218255,3,5
"200",200,"18C",4.16739364554875,12.4326594724658,2,1,1918,3547.3925625,6,33
"201",201,"18C",4.16739364554875,12.4326594724658,4,2,3329,4206.696,4,7
"202",202,"18C",4.16739364554875,12.4326594724658,1,2,3329,1610.316,9,7
